"% Crown Consumed (crown volume completely consumed by fire)","% Crown Scorch (crown volume scorched/singed by the fire)","% Green Crown (% of crown area green at time of assessment)","% Trunk Burn",Address,"Address Number","Address Street","Affected Parts of the Tree",Archived,"Area of New Growth",City,Code,"Common Name",Condition,"Critical Root Zone(CRZ)","Crown Light Exposure","Crown Width (width of canopy, measured)","CRZ Ratio",Cultivar,"Data Source","Date Added","Date of Assessment","Date Planted",DBH,"DBH Range","DBH Stem 1","DBH Stem 2","DBH Stem 3","DBH Stem 4","DBH Stem 5","DBH Stem 6","Distance from Nearest Burned Structure","East Canopy Length (in.)",Family,Funder,Genus,Geometry,"GPS Latitude - (Hand Held Unit)","GPS Longitude - (Hand Held Unit)","Grant Cycle","Green Infrastructure Type","Growing Space","Has Ecobenefits","Height Range","Height to Crown Base (measurement to lowest lateral branch)","Impervious Area","Infection Severity","Inspection Cycle","Installed Irrigation","Irrigation type",Jurisdiction,"Jurisdiction (temp)","Land Use","Last Inspection","Last Modified","Last Modified User","Last Watered","Latin Name",Latitude,"Location Description",Longitude,"Maintenance Comments","Measument (A) - Distance from Eye level to Ground (ft.)","Measurment (B) - Distance from You to Trunk (ft.)","Measurment (C) - Clinometer Angle","New Fungal Activity","New Insect Activity","Next Inspection","North Canopy Length (in.)",Notes,"Number of Stems",Observations,"Paid for by","Park Name","Percent Dieback (%)",Photos,"Planting Site Width","Possible Infection?","Presence of Insulating Bark","Primary ID","Project Name","Property Address","Protection Status","Recovery Potential with Interventions",Size,"South Canopy Length (in.)",Status,"Structural Damage to Branches","Structures Burned","Survival Potential","Temperature Outside Tree Shade (F)","Temperature Under Tree Shade (F)","TPZ Ratio","Tree Assessor Name","Tree Comments","Tree Height (Estimated)","Tree Number","Tree Ownership","Tree Protection Zone(TPZ)","Tree Work","Trunk Burn Severity","Trunk Cambium Health",Understory,User,Watering,"Weather Conditions","West Canopy Length (in.)",Wires
,,,,"1806 East Calaveras Street",1806,"East Calaveras Street",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000C7C8B607121469C1287546BF16ED4E41,,,,,,No,N/A,,,,,,,,,,10/5/2025,10/9/2025,Marian,10/5/2025,,34.184103468915,,-118.1132266,,,,,,,,,,1,,,,,,,,,65602,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Liquid amber - front yard along street ",,1,,,,,,,Marian,,,,
,,,,"3329 Alicia Avenue",3329,"Alicia Avenue",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000D75983DAA71569C1AF9D8C6398F14E41,,,,,,No,N/A,,,,,,,,,,10/20/2025,10/24/2025,Alyson,10/20/2025,,34.201247591818,,-118.14239119147,,,,,,,,,,1,,,,,,,,,65601,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"a very big conifer, possibly a deodar cedar

Hydrant Used: SW corner of Marathon and Marengo, Lincoln WC
Watered 10/20/25 1500 Gallons
Property trees: 1
Street trees: 0",,1,,,,,,,Marian,,,,
,,,,"2480 Tanoble Drive",2480,"Tanoble Drive",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00006238516A241469C1831D053348EE4E41,,,,,,No,N/A,,,,,,,,,,10/13/2025,10/16/2025,Marian,10/13/2025,,34.188643093476,,-118.11454785427,,,,,,,,,,1,,,,,,,,,65600,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"179 West Harriet Street",179,"West Harriet Street",,No,,Altadena,,"Property - Visited 2x's",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000047718088391669C1D736814915EF4E41,,,,,,No,N/A,,,,,,,,,,10/22/2025,10/24/2025,Alyson,10/22/2025,,34.191690968396,,-118.15286049147,,,,,,,,,,1,,,,,,,,,65599,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"1016 Alta Pine Drive",1016,"Alta Pine Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000251449A4E71469C14303588B9FF14E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.201353917137,,-118.12857784573,,,,,,,,,,1,,,,,,,,,65598,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Redbutton, Guava, juniper, agave, lucky bamboo, and more",,1,,,,,,,Marian,,,,
,,,,"3057 Glen Avenue",3057,"Glen Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00005F63F086241669C16CAE057DA0F04E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.197563867994,,-118.1513508831,,,,,,,,,,1,,,,,,,,,65597,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"2	1 Citrus & 1 Triangle Palm",,1,,,,,,,Marian,,,,
,,,,"2470 Morslay Road",2470,"Morslay Road",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000278542C90F1469C153EBACAD35EE4E41,,,,,,No,N/A,,,,,,,,,,10/13/2025,10/16/2025,Marian,10/13/2025,,34.18836784346,,-118.1130653372,,,,,,,,,,1,,,,,,,,,65596,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"6	liquid ambers 2  oak 3 euch.1",,1,,,,,,,Marian,,,,
,,,,"3376 La Corona Avenue",3376,"La Corona Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000047667739D41569C1BCD3CCD089F14E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.201031042499,,-118.1455799169,,,,,,,,,,1,,,,,,,,,65595,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"4	I paid to have the burned palms trimmed. The county refuse to trim the palms.",,1,,,,,,,Marian,,,,
,,,,"541 East Poppyfields Drive",541,"East Poppyfields Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00003CFBD54D3F1569C1E493CD4614F04E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.195480293346,,-118.1348777169,,,,,,,,,,1,,,,,,,,,65594,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"1	Feijoa plus some bushes",,1,,,,,,,Marian,,,,
,,,,"1116 East Altadena Drive",1116,"East Altadena Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000604C1749DB1469C14BEB7F50A7EE4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.19005664348,,-118.12768986263,,,,,,,,,,1,,,,,,,,,65593,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"1	Oak",,1,,,,,,,Marian,,,,
,,,,"988 Wapello Street",988,"Wapello Street",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000FC5498ABEE1469C12DA01F69BCF04E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.197978792248,,-118.12908295427,,,,,,,,,,1,,,,,,,,,65592,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Deodor Cedar",,1,,,,,,,Marian,,,,
,,,,"588 Wapello Street",588,"Wapello Street",,No,,Altadena,,"Property - Visited 2x's",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00001CA490DD211569C1C6657756CCF04E41,,,,,,No,N/A,,,,,,,,,,10/22/2025,10/24/2025,Alyson,10/22/2025,,34.19821546795,,-118.13276210837,,,,,,,,,,1,,,,,,,,,65591,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Sycamore and palm",,1,,,,,,,Marian,,,,
,,,,"2344 Pinecrest Drive",2344,"Pinecrest Drive",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000BF3A5C25B41369C12F23D579E3EE4E41,,,,,,No,N/A,,,,,,,,,,10/20/2025,10/24/2025,Alyson,10/20/2025,,34.190950718286,,-118.10647959147,,,,,,,,,,1,,,,,,,,,65590,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"2261 Mar Vista Avenue",2261,"Mar Vista Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000405143CFDA1469C165BB72363CED4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.184660293999,,-118.12765566263,,,,,,,,,,1,,,,,,,,,65589,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"2393 Tanoble Drive",2393,"Tanoble Drive",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F00005324CD662D1469C12712068AD7ED4E41,,,,,,No,N/A,,,,,,,,,,10/13/2025,10/16/2025,Marian,10/13/2025,,34.186968768719,,-118.11519365427,,,,,,,,,,1,,,,,,,,,65588,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Pacific madrone, magnolia , palm, peach cypress",,1,,,,,,,Marian,,,,
,,,,"406 Wapello Street",406,"Wapello Street",,No,,Altadena,,"Property - Not Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000000145F474F1569C1A6AAD2EC2DF14E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.199665593148,,-118.13602574573,,,,,,,,,,1,,,,,,,,,65587,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"2 sycamores, 2 apricots, 1 apple, 1 Meyer Lemon, 1 pomegranate, 1 plum, 2 orange, 1 tangerine, 1 tangelo, 1 Deodora",,1,,,,,,,Marian,,,,
,,,,"636 Wapello Street",636,"Wapello Street",,No,,Altadena,,"Property - Visited 2x's",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000C3FC2546141569C11CD841ADBEF04E41,,,,,,No,N/A,,,,,,,,,,10/22/2025,10/24/2025,Alyson,10/22/2025,,34.198012467048,,-118.13178535427,,,,,,,,,,1,,,,,,,,,65586,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"3	Oaks",,1,,,,,,,Marian,,,,
,,,,"341 Marathon Road",341,"Marathon Road",,No,,Altadena,,"Property - Visited 2x's",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000768EDF4E6D1569C1A6A58CCEC0F04E41,,,,,,No,N/A,,,,,,,,,,10/20/2025,10/24/2025,Alyson,10/20/2025,,34.198044119407,,-118.13818380837,,,,,,,,,,1,,,,,,,,,65585,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Maple, almond, apple
Hydrant Used: 532 Concha St, Lincoln WC
Watered 10/20/25 1500 Gallons
Property trees: 3
Street trees: 0",,1,,,,,,,Marian,,,,
,,,,"1780 East Loma Alta Drive",1780,"East Loma Alta Drive",,No,,Altadena,,"Property - Visited",,,,,,,,10/9/2025,,,,N/A,,,,,,,,,,,,0101000020110F000008563C58151469C1C3A2C938A3EF4E41,,,,,,No,N/A,,,,,,,,,,10/20/2025,10/24/2025,Alyson,10/20/2025,,34.193800240213,,-118.1134648,,,,,,,,,,1,,,,,,,,,65584,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Oak, small pine, acacia, pomegranate (all in front yard) avocado (small, in front), plumeria and magnolia (in back, along the west wall), pistachio, peach and kefir lime (near the back, below the pool). I also have a very large avocado and an old orange in the way back but those roots are likely deep enough that they are fine. ",,1,,,,,,,Marian,,,,
,,,,"3195 Lincoln Avenue",3195,"Lincoln Avenue",,No,,Altadena,,"Property - Visited 2x's",,,,,,,,10/3/2025,,,,N/A,,,,,,,,,,,,0101000020110F000002323EDB901669C104CF38E572F14E41,,,,,,No,N/A,,,,,,,,,,9/26/2025,10/16/2025,Marian,9/26/2025,,34.200690460969,,-118.15913599325,,,,,,,,,,1,,,,,,,,,65367,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"3108 Santa Anita Avenue",3108,"Santa Anita Avenue",,No,,Altadena,,"Property - Visited",,,,,,,,10/3/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000201922E9351569C1B81D956CA6F04E41,,,,,,No,N/A,,,,,,,,,,10/2/2025,10/9/2025,Marian,10/2/2025,,34.197652073744,,-118.13420266029,,,,,,,,,,1,,,,,,,,,65366,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Street trees watering",,1,,,,,,,Marian,,,,
,,,,"407 East Mendocino Street",407,"East Mendocino Street",,No,,Altadena,,"Property - Visited",,,,,,,,10/3/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000AD314458911569C148DF957058EE4E41,,,,,,No,N/A,,,,,,,,,,10/2/2025,10/9/2025,Marian,10/2/2025,,34.188884452535,,-118.14077359325,,,,,,,,,,1,,,,,,,,,65365,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"2241 Maiden Lane",2241,"Maiden Lane",,No,,Altadena,,"Property - Visited",,,,,,,,10/3/2025,,7/7/2025,,N/A,,,,,,,,,,,,0101000020110F00003B423BF3EA1469C1A372863220ED4E41,,,,,,No,N/A,,,,,,,,,,10/1/2025,10/23/2025,Alyson,10/1/2025,,34.184243921224,,-118.12881560341,,,,,,,,,,1,,,,,,,,,65364,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"3	ficus and palm tree in front yard, mini lime tree in front yard, really want the mini lime tree to survive, it makes great limes
",,1,,,,,,,Marian,,,,
,,,,"3314 Mount Curve Avenue East",3314,"Mount Curve Avenue East",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F00006923F81FDC1469C11B48079C74F14E41,,,,,,No,N/A,,,,,,,,,,9/30/2025,10/9/2025,Marian,9/30/2025,,34.200715931389,,-118.12775018402,,,,,,,,,,1,,,,,,,,,65015,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"6	Sycamores, deodar and a camellia ",,1,,,,,,,Marian,,,,
,,,,"3108 Thurin Avenue",3108,"Thurin Avenue",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F000018478A1D6A1669C1DD6C2586CBF04E41,,,,,,No,N/A,,,,,,,,,,10/6/2025,10/9/2025,Marian,10/6/2025,,34.198203375696,,-118.15635186075,,,,,,,,,,1,,,,,,,,,65012,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Chinese elm",,1,,,,,,,Marian,,,,
,,,,"3172 Rubio Canyon Road",3172,"Rubio Canyon Road",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F000027811F77A81469C1D4AF1E8FD3F04E41,,,,,,No,N/A,,,,,,,,,,10/23/2025,10/24/2025,Alyson,10/23/2025,,34.198322775694,,-118.12403765855,,,,,,,,,,1,,,,,,,,,65011,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"20	Oaks, olives, maple, red bud",,1,,,,,,,Marian,,,,
,,,,"2813 Santa Anita Avenue",2813,"Santa Anita Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F000079B5AEBD661569C1AA0716D584EF4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.193348631124,,-118.13771185855,,,,,,,,,,1,,,,,,,,,65004,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"1	Live Oak",,1,,,,,,,Marian,,,,
,,,,"1066 Concha Street",1066,"Concha Street",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F00001823C284D61469C1888541F30FF14E41,,,,,,No,N/A,,,,,,,,,,9/25/2025,10/9/2025,Marian,9/25/2025,,34.199220176139,,-118.12734728654,,,,,,,,,,1,,,,,,,,,65001,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"3 oaks, 1 liquid amber, all near the curb",,1,,,,,,,Marian,,,,
,,,,"2891 Mount Curve Avenue East",2891,"Mount Curve Avenue East",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F00000FE81E53E61469C16A57D2AFF1EF4E41,,,,,,No,N/A,,,,,,,,,,9/25/2025,10/16/2025,Marian,9/25/2025,,34.194966274673,,-118.12848319566,,,,,,,,,,1,,,,,,,,,64998,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"1 sycamore, 1 orange, 2 small lemons",,1,,,,,,,Marian,,,,
,,,,"3378 Bellaire Drive",3378,"Bellaire Drive",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000FA1AAD7CA61569C18EAB1646D8F14E41,,,,,,No,N/A,,,,,,,,,,10/6/2025,10/9/2025,Marian,10/6/2025,,34.202196875645,,-118.14229298402,,,,,,,,,,1,,,,,,,,,64991,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"most of them are oaks, one deodara",,1,,,,,,,Marian,,,,
,,,,"3276 Summit Avenue",3276,"Summit Avenue",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000CC545E506F1569C15E1A549FE6F04E41,,,,,,No,N/A,,,,,,,,,,10/6/2025,10/9/2025,Marian,10/6/2025,,34.198606053755,,-118.13832795855,,,,,,,,,,1,,,,,,,,,64989,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Large skinny pine",,1,,,,,,,Marian,,,,
,,,,"1027 Athens Street",1027,"Athens Street",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F00006FB51492E71469C100B7D5F3A0F04E41,,,,,,No,N/A,,,,,,,,,,9/30/2025,10/9/2025,Marian,9/30/2025,,34.197570764701,,-118.12857273528,,,,,,,,,,1,,,,,,,,,64988,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"California oak, magnolia ",,1,,,,,,,Marian,,,,
,,,,"366 West Mendocino Street",366,"West Mendocino Street",,No,,Altadena,,"Property - Not Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F000024F27219681669C1EC37AFF988EF4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.19341019865,,-118.15620698183,,,,,,,,,,1,,,,,,,,,64975,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"ornamental plum",,1,,,,,,,Marian,,,,
,,,,"511 Athens Street",511,"Athens Street",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F00009A5AE584361569C1A4397D62D6F04E41,,,,,,No,N/A,,,,,,,,,,10/16/2025,10/16/2025,Marian,10/9/2025,,34.198364764666,,-118.13424638654,,,,,,,,,,1,,,,,,,,,64971,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Fig, peach, lemon, orange and another I don’t know the name of",,1,,,,,,,Marian,,,,
,,,,"1055 Wapello Street",1055,"Wapello Street",,No,,Altadena,,"Property - Visited 2x's",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F00002D948A5BDC1469C168307381E1F04E41,,,,,,No,N/A,,,,,,,,,,9/29/2025,10/16/2025,Marian,9/29/2025,,34.198530020243,,-118.12776690729,,,,,,,,,,1,,,,,,,,,64970,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Large oak on east side with neighbor",,1,,,,,,,Marian,,,,
,,,,"1925 East Altadena Drive",1925,"East Altadena Drive",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F000011EE87D4F21369C1B9B7343CC2EE4E41,,,,,,No,N/A,,,,,,,,,,10/2/2025,10/9/2025,Marian,10/2/2025,,34.190456720475,,-118.11098440982,,,,,,,,,,1,,,,,,,,,64966,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Deodar, Feijoa, Lemon, 2 peach, apricot, persimmon",,1,,,,,,,Marian,,,,
,,,,"929 East Mendocino Street",929,"East Mendocino Street",,No,,Altadena,,"Property - Visited 2x's",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F000076F924AE061569C13324D6459CED4E41,,,,,,No,N/A,,,,,,,,,,10/6/2025,10/16/2025,Marian,10/6/2025,,34.186087954713,,-118.13080843528,,,,,,,,,,1,,,,,,,,,64960,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"377 West Marigold Street",377,"West Marigold Street",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F00001791C2A23E1669C1A082B86452F14E41,,,,,,No,N/A,,,,,,,,,,10/3/2025,10/16/2025,Marian,10/3/2025,,34.200207498022,,-118.1532271889,,,,,,,,,,1,,,,,,,,,64950,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,Oak,,1,,,,,,,Marian,,,,
,,,,"3058 North Olive Avenue",3058,"North Olive Avenue",,No,,Altadena,,"Property - Not Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F00001D5C01D23D1669C138A5CEB79FF04E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.197552420271,,-118.15316858654,,,,,,,,,,1,,,,,,,,,64943,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Palm, mulberry",,1,,,,,,,Marian,,,,
,,,,"274 West Mariposa Street",274,"West Mariposa Street",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F000079EC7F29471669C19DDF3EFEABEF4E41,,,,,,No,N/A,,,,,,,,,,10/7/2025,10/9/2025,Marian,10/7/2025,,34.193930587851,,-118.15383993528,,,,,,,,,,1,,,,,,,,,64935,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"1 sycamore, 1 lemon bush next to it, 1 sage outside gate",,1,,,,,,,Marian,,,,
,,,,"297 West Altadena Drive",297,"West Altadena Drive",,No,,Altadena,,"Property - Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F00007A62FF513C1669C11247CAB864F04E41,,,,,,No,N/A,,,,,,,,,,10/6/2025,10/9/2025,Marian,10/6/2025,,34.196675731955,,-118.15306078654,,,,,,,,,,1,,,,,,,,,64926,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"Heritage oak",,1,,,,,,,Marian,,,,
,,,,"2484 Page Drive",2484,"Page Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,9/30/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000D54EC82E6C1469C18B1C8D9523EE4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.188098933159,,-118.11970543748,,,,,,,,,,1,,,,,,,,,64913,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,"1 mature oak tree in the front, 1 small lemon tree in the back, 1 mature sycamore in the back",,1,,,,,,,Marian,,,,
,,,,"1472 East Loma Alta Drive",1472,"East Loma Alta Drive",,No,,Altadena,,"Property - Visited",,,,,,,,9/26/2025,,,,N/A,,,,,,,,,,,,0101000020110F000064A665EF6C1469C1230CA4D6CBEF4E41,,,,,,No,N/A,,,,,,,,,,9/26/2025,10/9/2025,Marian,9/26/2025,,34.194403828355,,-118.11975950893,,,,,,,,,,1,,,,,,,,,64684,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"3072 Rubio Canyon Road",3072,"Rubio Canyon Road",,No,,Altadena,,"Property - Visited",,,,,,,,9/26/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000C742EE8CB51469C1089CB7A079F04E41,,,,,,No,N/A,,,,,,,,,,9/30/2025,10/9/2025,Marian,9/25/2025,,34.196986397544,,-118.12497802837,,,,,,,,,,1,,,,,,,,,64677,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"464 East Mariposa Street",464,"East Mariposa Street",,No,,Altadena,,"Property - Not Visited",,,,,,,,9/19/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000B5295AFE861569C19E7DAB1CACEE4E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.190127941296,,-118.1400297,,,,,,,,,,1,,,,,,,,,64497,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"356 Vinehill Drive",356,"Vinehill Drive",,No,,Altadena,,"Property - Visited",,,,,,,,9/19/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000A6E4D013551569C19EC1D375C0F24E41,,,,,,No,N/A,,,,,,,,,,10/16/2025,10/16/2025,Marian,10/9/2025,,34.205646909259,,-118.13644246425,,,,,,,,,,1,,,,,,,,,64496,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"440 West Poppyfields Drive",440,"West Poppyfields Drive",,No,,Altadena,,"Property - Not Visited",,,,,,,,9/19/2025,,,,N/A,,,,,,,,,,,,0101000020110F00008571BAC24B1669C1F3C0406F97F14E41,,,,,,No,N/A,,,,,,,,,,,10/9/2025,Marian,,,34.201233411786,,-118.15417041105,,,,,,,,,,1,,,,,,,,,64495,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"526 West Altadena Drive",526,"West Altadena Drive",,No,,Altadena,,"Property - Visited",,,,,,,,9/19/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000F5045AE47D1669C154F4E3BAA3F04E41,,,,,,No,N/A,,,,,,,,,,10/3/2025,10/16/2025,Marian,10/3/2025,,34.197612039278,,-118.15777311105,,,,,,,,,,1,,,,,,,,,64494,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"1739 East Mendocino Street",1739,"East Mendocino Street",,No,,Altadena,,"Property - Visited",,,,,,,,9/19/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000A8AAD71F231469C11A3E6A7FA7ED4E41,,,,,,No,N/A,,,,,,,,,,9/26/2025,10/9/2025,Marian,9/26/2025,,34.186254779633,,-118.11445508221,,,,,,,,,,1,,,,,,,,,64493,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
,,,,"2072 North Roosevelt Avenue",2072,"North Roosevelt Avenue",,No,,Altadena,,"Property - Visited",,,,,,,,9/19/2025,,,,N/A,,,,,,,,,,,,0101000020110F0000AB98BA9D701369C1E3BF5D906BEC4E41,,,,,,No,N/A,,,,,,,,,,9/26/2025,10/9/2025,Marian,9/26/2025,,34.181559239585,,-118.10162654663,,,,,,,,,,1,,,,,,,,,64492,"Altadena Tree Protection: Properties Served",,,,,,Alive,,,,,,,,,,1,,,,,,,Marian,,,,
